CIN_ID,BLOG_CAFE_CIN_KWD,NAVER_CAFE_NCNT,NAVER_CAFE_VIEW_NCNT,NAVER_CAFE_REP_NCNT
mv20190101001,영화 언니,26,11195,127
mv20190103001,데드풀 2,3,11086,19
mv20190103002,레인보우 나의 사랑,5,265,2
mv20190103003,영화 레토,37,1853,84
mv20190103005,주먹왕 랄프 2,78,11993,395
mv20190109001,영화 그린북,208,19202,652
mv20190109002,내안의 그놈,158,13332,364
mv20190109003,말모이,381,24483,805
mv20190110001,극장판 공룡메카드 타이니소어의 섬,6,268,10
mv20190110004,영화 리지,21,1163,58
mv20190110005,빌리어네어 보이즈클럽,20,1896,63
mv20190116001,구스 베이비,55,2131,54
mv20190116002,그대 이름은 장미,172,13151,463
mv20190116003,미래의 미라이,85,5944,270
mv20190116004,영화 언더독,144,10154,513
mv20190116005,왕이 될 아이,58,3057,205
mv20190116006,영화 쿠르스크,325,15219,653
mv20190117001,영화 글래스,59,6094,210
mv20190117002,영화 더 서치,18,1242,44
mv20190117004,영화 메이트,29,2083,33
mv20190117006,우행록 어리석은 자의 기록,7,1720,31
mv20190117007,일일시호일,54,3872,213
mv20190123001,극한직업,450,62269,1516
mv20190123002,두번째 여름,33,1960,83
mv20190123003,몬스터파크,2,142,16
mv20190123004,크리미널 게임 보석 사기단,8,521,25
mv20190123005,행맨,63,3930,202
