title|watcher_score|expert_score|netizen_score
허슬러|7.41|6.33|6.92
녹차의 중력|||5.00
대가리2:학교무림|||4.05
분노는 말이 없다|||6.47
삼촌|10.0||7.71
수퍼 디스코|9.25|5.50|9.28
앵커|||
어메이징 그레이스|||
우리를 갈라놓는 것들|9.00|7.50|7.59
집 이야기|9.38|6.25|9.01
행동하는 양심 김대중|8.00|5.67|3.24
싸움의 기술|||3.40
포레스트 헌터스 워|||
감쪽같은 그녀|8.83|5.00|7.48
나이브스 아웃|8.92|7.00|9.11
너의 여자친구|9.00|3.00|8.05
아직 사랑하고 있습니까?|7.00|2.00|7.73
굿 라이어|8.73|6.00|7.94
극장판 타오르지마 버스터-블랙어썰트의 귀환|8.33||9.56
라스트 크리스마스|7.18|5.50|6.74
어웨이크너: 히어로의 탄생|||
파비안느에 관한 진실|7.82|6.86|8.03
1944: 인간병기|||
스튜핏 영 하트|||
매리|5.00|2.00|5.56
아내를 죽였다|7.49||5.13
쥬만지: 넥스트 레벨|7.85|6.00|6.09
1 더하기 3|||7.96
그날은 오리라||7.00|7.00
더 보트|||
더 하우스|||3.57
드래곤 빌리지|||5.44
디아스포라의 노래: 아리랑로드|10.0|5.00|8.88
디에고|8.20|7.17|8.26
라 파미에|9.00|6.00|9.00
라멘 덕후|||
라스트 씬|10.0|5.67|7.75
사탄의 인형: 상속 받은 저주|||4.33
산타 앤 컴퍼니|10.0|5.00|7.70
샐린저|10.0|6.00|7.29
속물들|8.67|6.25|6.05
아스테릭스: 마법 물약의 비밀|8.00||7.80
영화로운 나날|7.87|5.75|8.50
월성|8.80|4.67|6.34
인투 더 애쉬|||5.36
카운트 다운||3.00|6.70
깡패들|||
로빈: 살인자의 유혹|||
할머니의 고양이 그리고 522걸음의 여행|||
시동|8.68|6.00|7.55
미안해요, 리키|9.23|7.29|9.31
백두산|7.47|5.67|5.76
블루 마이 마인드|||7.11
신비아파트 극장판: 하늘도깨비 대 요르문간드|8.72|6.00|8.52
호흡|||
공포의 묘지: 망자의 저주|||0.00
눈의 여왕4|8.96|6.00|9.20
캣츠|6.43|4.75|4.60
프린스 코기|8.81|6.00|7.36
와일드 라이프|8.11|6.60|8.31
고흐, 영원의 문에서|8.36|6.83|8.41
백두번째 구름||6.50|6.20
천문: 하늘에 묻는다|8.80|6.70|8.79
미드웨이|8.67|5.50|8.82
