meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt
아빠는 예쁘다,,Dad Is Pretty,20191121,
아사코,,Asako I & II,20190314,
아스테릭스: 마법 물약의 비밀,,Asterix: The Secret of the Magic Potion,20191212,
아스트로: 우주전쟁,,Astro,20190111,
아워 바디,,Our Body,20190926,4202
아이 아이 가사: 다시 만난 그날,,Aiaigasa,20190530,168
아이 엠 마더,,Peppermint,20190411,
아이 킬 자이언츠,,I Kill Giants,20190124,
아이스,,ICE,20190207,10788
아이스브레이커,,Icebreaker,20190104,
아직 사랑하고 있습니까?,,HOW TO LIVE IN THIS WORLD,20191204,
아직 지나지 않은 여름,,Still Summer,20191101,
아틱,,ARCTIC,20190327,6563
아픈 만큼 사랑한다,,LOVE AS MUCH AS PAIN,20190403,16061
악인전,,"The Gangster, The Cop, The Devil",20190515,3168041
악질경찰,,Jo Pil-ho: The Dawning Rage,20190320,
안나,,ANNA,20190828,57259
안녕 베일리,,A Dog's journey,20190905,1662
"안녕, 티라노: 영원히, 함께",,"My TYRANO: Together, Forever",20190814,198591
안도 타다오,,Samurai Architect Tadao Ando,20190425,
알라딘,,Aladdin,20190523,12535417
알랭 뒤카스: 위대한 여정,,The Quest of Alain Ducasse,20190801,606
알리타: 배틀 엔젤,,Alita: Battle Angel,20190205,1951889
알카트라즈: 죽음의 수용소,,Alcatraz,20191115,
암드,,Armed,20190426,60
암전,,Warning: Do Not Play,20190815,2482
애나벨 집으로,,Annabelle Comes Home,20190626,291328
애드 아스트라,,AD ASTRA,20190919,513377
애월,,Moonfishing in Aewol,20190926,1060
애프터,,After,20190822,54029
앨리스 죽이기,,To Kill Alice,20190808,1094
앳 퍼스트 라이트,,First Light,20190925,
앵그리 버드 2: 독수리 왕국의 침공,,The Angry Birds Movie 2,20190807,188914
앵커,,Anchor,20191128,
양자물리학,,By Quantum Physics: A Nightlife Venture,20190925,438071
양지의 그녀,,Girl In The Sunny Place,20190321,126
어글리 돌,,UglyDolls,20190501,52505
어린 의뢰인,,My First Client,20190522,188785
어메이징 그레이스,,Amazing Grace,20191128,2212
어벤져스 오브 저스티스,,Avengers of Justice: Farce Wars,20191016,
어벤져스: 엔드게임,,Avengers: Endgame,20190424,13918761
어스,,Us,20190327,936431
