meta_title,sub_title,engl_title,open_dy,dmst_spct_cnt,nongap_meta_title,nongap_engl_title,nonsc_meta_title,nongap_nonsc_meta_title,nonsc_engl_title,nongap_nonsc_engl_title,meta_title_split_1,meta_title_split_2,meta_title_split_3,meta_title_split_4,meta_title_split_5,meta_title_split_6,meta_title_split_7,meta_title_split_8,meta_title_split_9,meta_title_split_10,meta_title_split_11,kor_eng_title,spare_column_1,spare_column_2,spare_column_3,spare_column_4,spare_column_5
김복동,,My Name Is KIM Bok-dong,20190808,78092.0,김복동,MyNameIsKIMBok-dong,김복동,김복동,My Name Is KIM Bokdong,MyNameIsKIMBokdong,김복동,,,,,,,,,,,김복동 (My Name Is KIM Bok-dong),,,,,
깡패들,[무삭제판],,20191213,,깡패들,,깡패들,깡패들,,,깡패들,,,,,,,,,,,깡패들 (깡패들),,,,,
꼬마 물고기 이자벨: 바다 대모험,,Izzie's Way Home,20190718,,꼬마물고기이자벨:바다대모험,Izzie'sWayHome,꼬마 물고기 이자벨 바다 대모험,꼬마물고기이자벨바다대모험,Izzie's Way Home,Izzie'sWayHome,꼬마,물고기,이자벨:,바다,대모험,,,,,,,꼬마 물고기 이자벨: 바다 대모험 (Izzie's Way Home),,,,,
꼬마 자전거 스피디,,Bikes,20191017,,꼬마자전거스피디,Bikes,꼬마 자전거 스피디,꼬마자전거스피디,Bikes,Bikes,꼬마,자전거,스피디,,,,,,,,,꼬마 자전거 스피디 (Bikes),,,,,
나는 다른 언어로 꿈을 꾼다,,I Dream in Another Language,20190307,,나는다른언어로꿈을꾼다,IDreaminAnotherLanguage,나는 다른 언어로 꿈을 꾼다,나는다른언어로꿈을꾼다,I Dream in Another Language,IDreaminAnotherLanguage,나는,다른,언어로,꿈을,꾼다,,,,,,,나는 다른 언어로 꿈을 꾼다 (I Dream in Another Language),,,,,
나는 예수님이 싫다,,Jesus,20190808,806.0,나는예수님이싫다,Jesus,나는 예수님이 싫다,나는예수님이싫다,Jesus,Jesus,나는,예수님이,싫다,,,,,,,,,나는 예수님이 싫다 (Jesus),,,,,
나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,,Daejeon Romantic comedy,20190601,,나는원래대전에서로맨틱코미디를찍으려고했었다,DaejeonRomanticcomedy,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,나는원래대전에서로맨틱코미디를찍으려고했었다,Daejeon Romantic comedy,DaejeonRomanticcomedy,나는,원래,대전에서,로맨틱,코미디를,찍으려고,했었다,,,,,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다 (Daejeon Romantic comedy),,,,,
나랏말싸미,,The King's Letters,20190724,899996.0,나랏말싸미,TheKing'sLetters,나랏말싸미,나랏말싸미,The King's Letters,TheKing'sLetters,나랏말싸미,,,,,,,,,,,나랏말싸미 (The King's Letters),,,,,
나를 찾아줘,나를 찾아줘(2019),Bring Me Home,20191127,356820.0,나를찾아줘,BringMeHome,나를 찾아줘,나를찾아줘,Bring Me Home,BringMeHome,나를,찾아줘,,,,,,,,,,나를 찾아줘 (Bring Me Home),,,,,
나만 없어 고양이,,"Hello, My Cat",20190822,,나만없어고양이,"Hello,MyCat",나만 없어 고양이,나만없어고양이,Hello My Cat,HelloMyCat,나만,없어,고양이,,,,,,,,,"나만 없어 고양이 (Hello, My Cat)",,,,,
나쁜 녀석들: 더 무비,,The Bad Guys: Reign of Chaos,20190911,4480994.0,나쁜녀석들:더무비,TheBadGuys:ReignofChaos,나쁜 녀석들 더 무비,나쁜녀석들더무비,The Bad Guys Reign of Chaos,TheBadGuysReignofChaos,나쁜,녀석들:,더,무비,,,,,,,,나쁜 녀석들: 더 무비 (The Bad Guys: Reign of Chaos),,,,,
나의 노래는 멀리멀리,,"Free My Soul, Free My Song",20191003,711.0,나의노래는멀리멀리,"FreeMySoul,FreeMySong",나의 노래는 멀리멀리,나의노래는멀리멀리,Free My Soul Free My Song,FreeMySoulFreeMySong,나의,노래는,멀리멀리,,,,,,,,,"나의 노래는 멀리멀리 (Free My Soul, Free My Song)",,,,,
나의 작은 시인에게,,The Kindergarten Teacher,20190404,967.0,나의작은시인에게,TheKindergartenTeacher,나의 작은 시인에게,나의작은시인에게,The Kindergarten Teacher,TheKindergartenTeacher,나의,작은,시인에게,,,,,,,,,나의 작은 시인에게 (The Kindergarten Teacher),,,,,
나의 특별한 형제,,Inseparable Bros,20190501,36343.0,나의특별한형제,InseparableBros,나의 특별한 형제,나의특별한형제,Inseparable Bros,InseparableBros,나의,특별한,형제,,,,,,,,,나의 특별한 형제 (Inseparable Bros),,,,,
