META_ID,BTV_LIKE_NCNT,BTV_NGOOD_NCNT,BTV_PNT,WATCHA_EVAL_NCNT,WATCHA_RVW_PNT,CINE21_EVAL_NCNT,CINE21_NTNZ_PNT,CINE21_CRTC_PNT
MM1000331098,13,5,,133,3.77,1,8,
MM1000331332,6,2,,490,2.83,3,,6.67
MM1000332142,88,25,,818,3.07,2,,5.5
MM1000333362,14132,2061,,12449,2.70,6,6.5,5
MM1000336684,71,51,,206,1.87,2,10,2
MM1000337985,25,2,,500,3.39,5,7,7
MM1000343909,15421,783,,101289,3.67,8,8.25,6.25
MM1000353503,26,17,,126,3.27,1,,5
MM1000109497,3,2,,7,1.71,2,,4.5
MM1000141526,40,5,,5135,3.40,2,,5.5
MM1000154912,,,,178,3.67,2,,8
MM1000155884,3063,66,,3837,3.48,4,5,4.33
MM1000168866,609,44,,5245,3.25,2,,6
MM1000189071,2009,586,,69183,3.34,9,6.33,7.17
MM1000194134,12,12,,4045,3.36,3,,7.33
MM1000198165,41,3,,899,3.62,3,7,7
MM1000200852,2,1,,36,3.18,1,,6
MM1000221204,14,3,,323,2.73,4,,4.75
MM1000229398,208,118,,8179,3.36,5,7,7.5
MM1000234175,2230,1606,,2022,1.57,4,5,3.33
MM1000235736,20,4,,199,2.48,4,,5.25
MM1000238030,61,14,,585,3.47,4,,6.25
MM1000241531,71,51,,6626,2.35,1,5,
MM1000251110,43,2,,2905,3.60,7,8,6.5
MM1000264495,,,,428,2.92,1,,5
MM1000269035,11,2,,542,3.06,3,,6
MM1000269407,,,,42,2.61,1,,5
MM1000273334,7,2,,934,3.17,5,,6.2
MM1000273630,4,0,,166,3.34,1,,7
MM1000280365,7,2,,532,2.44,3,,6
MM1000282796,9553,1372,,6400,2.17,10,6,6.71
MM1000287401,8,1,,180,3.03,2,,5
MM1000297689,1342,239,,2461,3.27,6,7,6.8
MM1000300094,185,10,,399,2.63,3,,5.33
MM1000314049,13884,128,,2550,3.33,3,10,5.5
MM1000316888,40,9,,206,3.09,2,,5
MM1000317870,4,1,,129,2.64,1,,5
MM1000318591,42224,3027,,16593,2.58,6,4,4.75
MM1000319481,,,,7,2.07,1,,5
MM1000320186,224,8,,619,2.94,2,,4.5
MM1000324152,804,412,,594,2.66,6,6,6
MM1000324701,18,1,,836,3.54,2,10,6
MM1000329832,37784,3263,,57122,3.81,13,6.75,6.56
MM1000329940,2125,604,,40915,3.67,7,9,8.17
MM1000330071,64,1,,367,3.45,3,10,6
MM1000330842,13,10,,404,0.98,3,10,2.5
MM1000332023,2506,259,,5438,3.29,3,8,7.5
MM1000332880,14,2,,184,3.18,1,9,
MM1000334787,7062,1675,,3811,2.78,6,6,5.67
MM1000336086,10,6,,104,3.09,1,,7
MM1000336287,4,1,,72,2.90,2,,5
MM1000336348,29,9,,395,3.43,1,8,
MM1000341957,538,26,,4822,4.01,5,,7.2
MM1000350175,2,0,,117,3.44,2,10,7
MM1000328823,,,,2,2.25,,,
MM1000265716,,,,150,2.82,,,
MM1000354209,1,0,,12,3.29,,,
MM1000327299,,,,272,3.05,,,
MM1000265972,42,13,,344,1.74,,,
MM1000194528,7,7,,59,2.47,,,
MM1000213326,9,10,,31,2.23,,,
MM1000160208,76,1,,651,3.62,,,
MM1000265729,,,,9,1.28,,,
MM1000147845,2899,165,,1218,3.01,,,
MM1000335736,,,,31,3.87,,,
MM1000125693,4,7,,47,1.26,,,
MM1000210517,4,0,,619,3.22,,,
MM1000320822,4,2,,45,2.93,,,
MM1000118454,673,24,,138820,3.69,,,
MM1000160738,2,9,,16,2.97,,,
MM1000243861,11,2,,2,2.00,,,
MM1000194207,26,10,,280,2.61,,,
MM1000316917,79,19,,64,2.45,,,
MM1000221238,,,,132,3.15,,,
MM1000320434,7,3,,21,1.90,,,
MM1000141591,16,5,,1,3.00,,,
MM1000299742,0,4,,66,1.58,,,
MM1000251085,5,5,,4,0.75,,,
MM1000248467,8,1,,77,3.77,,,
MM1000314153,8,7,,8,2.06,,,
MM1000322137,2,0,,27,2.67,,,
MM1000334357,25,13,,,,,,
MM1000325798,,,,29,2.98,,,
MM1000196316,15,3,,216,2.52,,,
MM1000324156,,,,1,1.00,,,
MM1000325782,,,,66,2.70,,,
MM1000315712,,,,74,2.41,,,
MM1000325274,572,11,,1033,3.58,,,
MM1000255211,11,4,,18,1.06,,,
MM1000316939,63,13,,20,2.60,,,
MM1000126856,4,5,,83,2.16,,,
MM1000281906,26,11,,20,1.30,,,
MM1000325847,28,10,,95,2.42,,,
MM1000350769,,,,12,2.83,,,
MM1000149867,4,6,,23,1.22,,,
MM1000299120,,,,1,5.00,,,
MM1000297808,26,5,,108,3.05,,,
